"            取样次数
菌株编号",0（0h）,1（2h）,2(4h),3(6h),4(8h),5(10h),6(12h),7(14h),8(16h),9(18h),10(20h),11(22h),12(24h）,13(28h),14(32h),15(36h)
D1,5000,67600000,2810000000,140000000,449000000,189000000,122000000,853000000,1040000000,21700000000,20200000000,82100000000,66300000000,94600000000,7230000000,4360000000
D2,5000,3810000,3440000,81800000,62700000,16400000,47200000,193000000,924000000,840000000,1030000000,7040000000,8400000000,4940000000,44500000000,11200000000
D3,5000,39000000,1730000000,3470000000,12100000000,7040000000,15600000000,1530000000,2610000000,3490000000,17400000000,23700000000,53600000000,6850000000,54100000000,28100000000
D4,5000,543000000,10200000000,38600000000,25700000000,76400000000,54600000000,4560000000,2130000000,17200000000,71800000000,65700000000,1.40E+11,66300000000,2.53E+11,29300000000
D5,5000,107000000,218000000,13800000000,48200000000,8940000000,14300000000,12100000000,15200000000,1.38E+11,27300000000,43300000000,37600000000,40400000000,2680000000,12600000000
D6,5000,420000,967000,6060000,97200000,626000000,18300000000,1020000000,4980000000,43000000000,47400000000,11600000000,35300000000,19000000000,34100000000,22900000000
D7,5000,748000,13600000,391000000,4140000000,13100000000,22100000000,7610000000,62400000000,12200000000,17900000000,29300000000,25000000000,86500000000,36300000000,25700000000
D8,5000,368000000,2390000000,19300000000,42600000000,60200000000,27300000000,69000000000,14200000000,32300000000,61800000000,11500000000,20000000000,41800000000,58100000000,43700000000
D9,5000,388000,2500000,72500000,861000000,10400000000,20000000000,4880000000,10600000000,20400000000,41100000000,12300000000,13400000000,21100000000,12000000000,30100000000
D10,5000,489000,435000,1310000,12600000,89000000,20600000000,583000000,12200000000,48200000000,65200000000,30400000000,15100000000,23500000000,27600000000,64600000000
D11,5000,3620000,6280000,42600000,1280000000,5840000000,64000000000,38600000000,70000000000,15600000000,18000000000,58600000000,6310000000,6780000000,82100000000,78500000000
D12,5000,2350000,3750000,38700000,5300000000,2680000000,23500000000,40000000000,18700000000,10400000000,957000000,73800000000,18300000000,43000000000,16600000000,29300000000
D13,5000,3560000,28900000,435000000,39300000000,44500000000,71200000000,58100000000,43000000000,50800000000,90500000000,64000000000,1.60E+11,1.11E+11,85000000000,1.41E+11
D14,5000,1810000,3500000,36700000,1730000000,501000000,25500000000,39300000000,24100000000,26600000000,26600000000,1.01E+11,36600000000,64600000000,92100000000,1.35E+11
D15,5000,43300000,2500000,47700000,27000000,327000000,1370000000,792000000,1950000000,4280000000,11400000000,7000000000,3380000000,5530000000,4920000000,67200000000
D16,5000,196000,1490000,9520000,178000000,1740000000,9600000000,34700000000,11600000000,11700000000,19900000000,25200000000,18300000000,36600000000,52700000000,69800000000
D17,5000,194000,6860000,32100000,368000000,13400000000,15400000000,17900000000,9860000000,16800000000,13800000000,24600000000,13000000000,13600000000,11900000000,17100000000
D18,5000,3590000,4440000,2750000,33600000,4100000000,1740000000,18700000000,11100000000,19500000000,22300000000,25500000000,14600000000,11600000000,12200000000,24100000000
D19,5000,216000,1120000,30200000,1100000000,10600000000,23100000000,23500000000,12100000000,27300000000,40700000000,35700000000,26900000000,16500000000,20800000000,39300000000
D20,5000,311000,4330000,7910000,529000000,45700000000,26600000000,50800000000,27600000000,10000000000,42600000000,49900000000,22700000000,45700000000,47800000000,64000000000
D21,5000,4030000,30700000,1690000000,4940000000,24600000000,34100000000,38300000000,36300000000,73100000000,31800000000,42200000000,62300000000,82100000000,68100000000,61200000000
D22,5000,23100000,2980000,16800000,1240000000,4400000000,12300000000,30400000000,28100000000,13300000000,6000000000,24600000000,21900000000,13900000000,17400000000,25000000000
D23,5000,1120000,26900000,1200000000,1930000000,3850000000,1390000000,510000000,37300000000,19500000000,31200000000,2300000000,2610000000,4850000000,22500000000,9520000000
D24,5000,684000,1450000,2700000,2730000,10800000,1340000000,11000000000,20200000000,44500000000,24800000000,4850000000,3720000000,52700000000,51700000000,11300000000
D25,5000,1850000,1970000,467000000,1400000000,13200000000,41100000000,30400000000,20200000000,52200000000,17900000000,57100000000,31200000000,38500000000,32900000000,24800000000
D26,5000,292000,993000,3620000,10600000,486000000,102000000,960000000,515000000,12100000000,2580000000,8790000000,3560000000,1430000000,1310000000,2700000000
D27,5000,428000,3290000,1660000,1210000,24500000,467000000,8710000000,2020000000,14800000000,19700000000,65200000000,2580000000,32900000000,80500000000,13200000000
D28,5000,12200000,9220000,1620000,3580000,6420000,3050000,152000000,55000000,675000000,195000000,3230000000,1230000000,482000000,111000000,3240000000
D29,5000,1780000,413000,14800000,1000000,94100000,60800000,5030000000,247000000,802000000,1180000000,3140000000,1220000000,1630000000,1030000000,3620000000
D30,5000,1680000,303000,305000,228000,2350000,3960000,4250000,29900000,34800000,139000000,2540000000,1780000000,5300000000,1490000000,3490000000
D31,5000,432000,333000,26800000,1650000000,1900000000,5730000000,2.89E+11,7.22E+11,5.40E+12,7.61E+12,8.42E+12,1.10E+13,3.40E+12,2.17E+12,1.13E+13
D32,5000,25500000,747000,5210000,83900000,78700000000,2.17E+11,2.92E+11,5.11E+11,3.96E+11,2.06E+11,1.69E+11,8.56E+11,7.74E+11,1.13E+11,3.62E+11
D33,5000,967000,497000,359000,4520000,43400000,38300000,50900000,492000000,776000000,645000000,1040000000,1260000000,10200000000,23100000000,6050000000
D34,5000,505000,4710000,219000000,19800000000,9.76E+11,2.67E+11,2.40E+12,1.20E+13,8.24E+13,4.13E+13,6.13E+12,1.20E+13,3.11E+13,1.04E+13,1.57E+13
D35,5000,404000,1390000,467000,37900000,637000000,1320000000,1.23E+11,1.76E+12,6.47E+11,3.12E+12,5.61E+12,5.90E+12,1.52E+13,4.23E+12,1.88E+12
D36,5000,249000,2110000,22900000,122000000,398000000,7290000000,16200000000,36300000000,17700000000,26600000000,35900000000,86400000000,10800000000,49500000000,2.37E+11
D37,5000,220000,2020000,16800000,230000000,168000000,21500000000,15800000000,15200000000,13900000000,13600000000,25900000000,9270000000,31500000000,28300000000,21100000000
D38,5000,205000,2630000,11100000,150000000,1750000000,2430000000,10600000000,6500000000,21100000000,6620000000,3920000000,3250000000,13700000000,3590000000,3590000000
D39,5000,506000,1370000,709000,168000000,1770000000,5950000000,5640000000,6160000000,17900000000,13600000000,13400000000,36600000000,18800000000,26900000000,25900000000
D40,5000,1180000,2130000,13200000,666000000,4100000000,21900000000,36000000000,30900000000,41500000000,35000000000,32900000000,24400000000,28100000000,38300000000,31500000000
D41,5000,1510000,15900000,30700000,9270000000,29100000000,38600000000,45700000000,39700000000,25500000000,27100000000,12500000000,27800000000,12100000000,6110000000,11600000000
D42,5000,775000,5800000,58600000,2490000000,20200000000,17500000000,29900000000,23900000000,14200000000,29600000000,13700000000,23700000000,12500000000,12500000000,8860000000
D43,5000,703000,4360000,48700000,501000000,16600000000,24600000000,12900000000,3310000000,14300000000,13800000000,7040000000,5350000000,4480000000,2980000000,9180000000
D44,5000,45100000,207000000,134000000,895000000,4140000000,20400000000,14000000000,11400000000,4150000000,11400000000,15400000000,10100000000,82900000000,74500000000,1.24E+11
D45,5000,893000,741000,7110000,120000000,846000000,3590000000,5210000000,8040000000,4280000000,12200000000,12400000000,8260000000,6440000000,4170000000,9350000000
