"          取样次数
菌株编号",0（0h）,1（2h）,2(4h),3(6h),4(8h),5(10h),6(12h),7(14h),8(16h),9(18h),10(20h),11(22h),12(24h）,13(28h),14(32h),15(36h)
J1,5000,130000,288000,592000,4760000,3610000,15000000,41000000,25000000,91000000,16300000,75700000,61900000,253000000,296000000,128000000
J2,5000,4500000,5980000,12300000,12200000,13700000,14900000,22000000,101000000,65300000,145000000,414000000,184000000,978000000,344000000,251000000
J3,5000,1400000,8250000,16600000,50000000,266000000,195000000,825000000,587000000,230000000,669000000,2500000000,2010000000,2650000000,3750000000,1090000000
J4,5000,510000,108000000,277000000,115000000,122000000,202000000,8390000000,633000000,104000000,2540000000,1240000000,3460000000,1800000000,5520000000,50500000000
J5,5000,1060000,4360000,1070000,2810000,3120000,4800000,26200000,14600000,1380000,1000000,3650000,2550000,34100000,25300000,136000000
J6,5000,2390000,293000,33500000,36300000,42000000,185000000,455000000,360000000,119000000,452000000,10700000,81400000,76500000,63500000,284000000
J7,5000,3490000,33500000,19900000,32100000,1870000,64700000,342000000,63100000,29000000,12000000,67700000,38200000,139000000,101000000,732000000
J8,5000,680000,3970000,6100000,5870000,4360000,2010000,30200000,9070000,5420000,31200000,768000000,91800000,37600000,485000000,859000000
J9,5000,1130000,9060000,11900000,160000000,75800000,126000000,349000000,340000000,101000000,57900000,61300000,38200000,174000000,131000000,189000000
J10,5000,34000000,30700000,20200000,30000000,463000000,163000000,567000000,240000000,493000000,9480000000,321000000,147000000,882000000,485000000,344000000
J11,5000,2400000,9760000,28700000,17800000,23200000,522000000,85900000,674000000,774000000,734000000,727000000,1720000000,3580000000,16700000000,23500000000
J12,5000,1710000,19600000,361000000,139000000,317000000,390000000,445000000,257000000,614000000,26700000,203000000,4450000000,5840000000,1820000000,12500000000
J13,5000,2800000,10400000,161000000,37600000,80100000,319000000,217000000,4300000000,485000000,1160000000,3720000000,28900000000,4900000000,4110000000,20500000000
J14,5000,9700000,1610000,5930000,44800000,423000000,436000000,215000000,523000000,209000000,312000000,42500000,973000000,853000000,209000000,946000000
J15,5000,11100000,1630000,16900000,45000000,700000000,368000000,548000000,995000000,122000000,226000000,732000000,245000000,1460000000,2720000000,2840000000
J16,5000,710000,1190000,59800000,62900000,14700000,4970000,4680000,39200000,16000000,196000000,119000000,281000000,345000000,787000000,1960000000
J17,5000,6290000,2540000,32300000,83900000,90700000,90700000,810000000,146000000,333000000,456000000,350000000,3660000000,1810000000,3120000000,1220000000
J18,5000,2960000,5690000,3490000,20900000,7440000,84700000,101000000,6240000000,1160000000,3170000000,1100000000,2180000000,2480000000,2000000000,27300000000
J19,5000,9750000,1140000,5980000,1590000,460000000,172000000,6330000000,3270000000,2390000000,577000000,3240000000,23600000000,71500000000,52100000000,64400000000
J20,5000,6550000,21900000,24300000,218000000,224000000,759000000,219000000,825000000,2350000000,589000000,874000000,610000000,7800000000,1300000000,5790000000
J21,5000,139000000,165000000,338000000,260000000,433000000,433000000,140000000,85800000,109000000,163000000,255000000,180000000,873000000,294000000,2050000000
J22,5000,60100000,38700000,65500000,147000000,367000000,274000000,108000000,316000000,598000000,123000000,1590000000,186000000,323000000,5770000000,1320000000
J23,5000,39600000,20300000,96800000,13000000,88700000,36700000,36400000,33400000,81400000,22000000,560000000,526000000,101000000,181000000,3250000000
J24,5000,9760000,1470000,3990000,43100000,16300000,57500000,32700000,455000000,593000000,39600000,42600000,99800000,18800000,269000000,4110000000
J25,5000,43100000,2260000,69200000,20000000,207000000,50400000,82500000,59300000,68900000,32800000,64200000,15600000,56700000,904000000,350000000
