"            取样次数
菌株编号",0（0h）,1（2h）,2(4h),3(6h),4(8h),5(10h),6(12h),7(14h),8(16h),9(18h),10(20h),11(22h),12(24h）,13(28h),14(32h),15(36h)
D1,5000,10100000,152000000,79900000000,67500000000,9310000000,37900000000,781000000,20900000000,19400000000,51400000000,76300000000,93500000000,24300000000,47200000000,44800000000
D2,5000,585000,9050000,5720000,4500000,10900000,21100000,25000000,627000000,18100000000,20500000000,66100000000,55700000000,58800000000,24500000000,77600000000
D3,5000,5580000,20800000,31400000,448000000,761000000,532000000,295000000,1020000000,6770000000,11400000000,23200000000,25900000000,15500000000,25300000000,38900000000
D4,5000,4930000,112000000,7900000000,9170000000,1030000000,6450000000,855000000,11200000000,4450000000,41800000000,1.31E+11,52300000000,1.41E+11,39400000000,37900000000
D5,5000,769000,15800000,4220000000,3860000000,3610000000,13500000000,4840000000,2860000000,9390000000,14700000000,54300000000,36100000000,17100000000,15600000000,24300000000
D6,5000,489000,2830000,9030000,147000000,402000000,424000000,3680000000,368000000,9180000000,14600000000,10400000000,18500000000,19700000000,34100000000,14800000000
D7,5000,381000,11300000,93000000,2280000000,6670000000,13300000000,3920000000,10600000000,19000000000,19000000000,29900000000,38300000000,21500000000,23100000000,44900000000
D8,5000,754000,21500000,59200000,17700000000,19300000000,52700000000,22100000000,40000000000,14300000000,80600000000,37600000000,37900000000,25900000000,29100000000,40000000000
D9,5000,748000,1090000,6390000,352000000,358000000,17400000000,8790000000,9100000000,12600000000,41800000000,22300000000,14600000000,7830000000,23700000000,29600000000
D10,5000,854000,885000,1970000,55100000,760000000,1750000000,21500000000,1230000000,39700000000,62900000000,36900000000,17900000000,18200000000,26600000000,23300000000
D11,5000,3200000,7700000,93800000,173000000,6980000000,17900000000,30400000000,31200000000,6980000000,14800000000,20800000000,20800000000,2210000000,5300000000,59100000000
D12,5000,1630000,7240000,60200000,66400000,8560000000,19900000000,20900000000,32600000000,6110000000,13000000000,9950000000,2930000000,6670000000,8110000000,60700000000
D13,5000,2000000,8640000,137000000,230000000,49100000000,27600000000,29100000000,32300000000,11100000000,14700000000,21700000000,26100000000,16600000000,12100000000,10700000000
D14,5000,1280000,2730000,33000000,44200000,1750000000,15500000000,19700000000,23100000000,20600000000,29100000000,20800000000,17900000000,45700000000,19000000000,29900000000
D15,5000,2900000,588000,1770000,2390000,7560000,170000000,2180000000,9690000000,25500000000,5590000000,25200000000,16100000000,25000000000,18200000000,22700000000
D16,5000,235000000,264000000,293000000,1370000000,1090000000,10200000000,11500000000,15600000000,23200000000,17400000000,16200000000,16200000000,11900000000,15600000000,3.39E+11
D17,5000,261000000,129000000,182000000,199000000,151000000,686000000,20700000000,18100000000,19900000000,80500000000,15200000000,20000000000,17000000000,50100000000,1.66E+11
D18,5000,33700000,10100000,126000000,1790000000,1800000000,2280000000,1190000000,1380000000,10500000000,51700000000,54000000000,1.17E+11,1.49E+11,1.33E+12,8.99E+12
