"             取样次数
菌株编号",0（0h）,1（2h）,2(4h),3(6h),4(8h),5(10h),6(12h),7(14h),8(16h),9(18h),10(20h),11(22h),12(24h）,13(28h),14(32h),15(36h)
J1,5000,330000,2230000,57400000,22800000,130000000,178000000,750000000,288000000,449000000,1250000000,51400000000,23200000000,4.35E+11,2.87E+11,1.86E+11
J2,5000,187000,598000,4410000,1590000,5800000,1910000,4130000,5730000,11800000,19300000,2410000000,4070000000,1010000000,5010000000,30600000000
J3,5000,1270000,2090000,23900000,15200000,12700000,52700000,23200000,16300000,166000000,366000000,210000000,174000000,179000000,3970000000,18200000000
J4,5000,39200000,17500000,68600000,197000000,195000000,560000000,240000000,1770000000,5060000000,1780000000,8600000000,2210000000,1280000000,5530000000,3540000000
J5,5000,42700000,81000000,112000000,168000000,274000000,416000000,159000000,105000000,9190000000,1160000000,3210000000,3510000000,19400000000,69900000000,28400000000
J6,5000,661000,776000,527000,2220000,212000,4680000,2920000,17000000,25600000,11300000,39800000,660000000,84300000,97900000,29100000
J7,5000,65200,152000,154000,173000,1280000,1950000,24000000,75800000,173000000,783000000,292000000,629000000,1310000000,8400000000,29400000000
J8,5000,34800000,32000000,26600000,95000000,430000000,244000000,468000000,87700000,268000000,255000000,1340000000,1930000000,78800000000,3860000000,70300000000
J9,5000,513000,7970000,104000000,355000000,752000000,487000000,292000000,105000000,6920000000,1730000000,797000000,2270000000,13600000000,1460000000,21900000000
J10,5000,1100000,5000000,11400000,943000000,331000000,661000000,104000000,156000000,337000000,152000000,234000000,8920000000,1250000000,47000000000,5.55E+11
J11,5000,7970000,42100000,144000000,2880000000,186000000,1180000000,8910000000,3320000000,6260000000,9820000000,1580000000,2410000000,45900000000,14900000000,22200000000
J12,5000,12300000,38000000,301000000,149000000,35200000,2520000000,5330000000,5450000000,1130000000,2110000000,3040000000,1040000000,2680000000,4680000000,70900000000
J13,5000,899000000,128000000,555000000,469000000,304000000,362000000,1390000000,3730000000,241000000,6600000000,3200000000,10400000000,4850000000,3730000000,15600000000
J14,5000,67300000,87700000,18300000,229000000,432000000,31100000000,4230000000,3320000000,3820000000,73800000000,2.23E+11,12100000000,15600000000,11000000000,22900000000
J15,5000,66000000,19500000,577000000,7080000000,2550000000,4340000000,3040000000,7700000000,4680000000,7300000000,6260000000,1560000000,24600000000,17300000000,1.56E+11
J16,5000,479000,234000,1640000,15400000,38800000,497000000,5200000000,38100000000,55400000000,15300000000,33800000000,13400000000,33000000000,35200000000,31000000000
J17,5000,242000,1840000,16700000,31200000,13900000000,2480000000,66300000000,67200000000,30100000000,80300000000,65000000000,64900000000,87800000000,29000000000,1.1E+11
J18,5000,1550000,1010000,9100000,35100000,996000000,59800000000,59800000000,33700000000,51000000000,31200000000,23700000000,69400000000,57400000000,1.21E+11,81000000000
